ID,ano_nascimento,nivel_educacao,estado_civil,renda_mensal,num_filhos_pequenos,num_filhos_adolescentes,num_dias_primeira_compra,num_dias_ultima_compra,gasto_vinho_ult_2anos,gasto_prod_frutas_ult_2anos,gasto_prod_carne_ult_2anos,gasto_prod_peixe_ult_2anos,gasto_prod_doces_ulti_2anos,qtde_compras_desconto,qtde_compras_web_restaurante,qtde_compras_catalogo,qtde_compras_loja,qtde_vistas_web_ult_mes,aceitou_qtde_oferta,reclamou_ult_2anos
8812,1979,pos,divorciado,"5087,59",1,0,476,45,12,3,8,8,0,2,2,0,3,7,0,0
3641,1976,graduado,casado,"5121,8",1,0,525,93,10,2,15,2,1,2,2,0,3,6,0,0
4547,1960,graduado,vive_junto,"5139,85",1,1,438,86,6,2,9,2,1,2,1,0,3,8,0,0
10069,1988,ensino_medio,vive_junto,"5159,4",1,0,667,43,2,7,5,2,15,1,2,0,2,9,1,0
3436,1969,graduado,casado,"5280,08",1,0,154,24,11,0,5,2,1,1,1,0,3,7,0,0
5802,1972,ensino_medio,casado,"5333,83",0,0,486,40,2,7,11,16,12,1,2,0,4,6,0,0
193,1996,ensino_medio,casado,"5421,43",0,0,132,81,0,0,2,3,3,1,1,0,2,5,1,0
8213,1980,pos,vive_junto,"5456,77",1,0,597,71,6,4,9,6,36,4,2,2,3,7,1,0
8162,1956,mestrado,vive_junto,"5511,65",0,0,544,88,4,1,11,6,2,1,1,0,3,6,0,0
1241,1984,pos,casado,"5562,41",1,0,650,1,13,3,8,7,4,2,1,0,3,9,1,0
5835,1976,doutorado,divorciado,"5582,33",1,0,362,39,21,2,28,3,2,3,2,0,4,8,0,0
8700,1986,ensino_medio,solteiro,"5603,76",0,0,554,86,7,7,14,7,16,3,2,1,3,7,0,0
3850,1963,ensino_medio,vive_junto,"5608,27",0,1,569,52,3,3,3,15,4,1,1,0,3,6,0,0
9617,1951,graduado,solteiro,"5651,5",0,0,74,37,0,4,5,6,0,1,1,0,3,3,0,0
3628,1987,ensino_medio,solteiro,"5653,38",1,0,516,93,4,8,11,19,12,2,2,1,2,9,0,0
3839,1958,ensino_medio,solteiro,"5660,15",1,1,422,76,6,12,3,21,6,5,2,2,3,5,0,0
10262,1980,graduado,casado,"5666,17",2,0,415,96,8,2,15,0,10,4,3,1,3,5,0,0
7600,1992,ensino_medio,solteiro,"5734,21",1,0,244,13,1,3,3,8,1,2,1,0,3,7,0,0
10264,1979,graduado,divorciado,"5746,99",1,0,627,60,1,2,8,4,3,2,1,1,2,7,2,0
234,1979,graduado,divorciado,"5746,99",1,0,627,60,1,2,8,4,3,2,1,1,2,7,2,0
8420,1970,pos,casado,"5757,52",0,0,330,27,7,4,13,15,8,2,2,0,4,5,0,0
10065,1970,pos,casado,"5757,52",0,0,330,27,7,4,13,15,8,2,2,0,4,5,0,0
6354,1984,graduado,vive_junto,"5768,8",1,0,667,51,5,2,16,3,2,2,1,1,2,8,1,0
10995,1988,pos,casado,"5908,27",1,0,594,8,16,5,30,8,7,3,3,0,4,8,0,1
4808,1956,graduado,casado,"5924,44",0,0,297,12,1,2,5,6,0,1,1,0,2,7,0,0
6347,1979,ensino_medio,solteiro,"5963,16",1,0,367,26,1,1,4,11,9,1,1,0,3,8,0,0
642,1980,ensino_medio,casado,"6016,92",1,0,684,69,1,3,2,20,30,3,2,1,2,8,0,0
5394,1979,ensino_medio,solteiro,"6020,3",1,1,469,42,3,9,4,7,8,4,1,1,4,3,0,0
7620,1990,ensino_medio,solteiro,"6084,59",1,0,328,71,5,11,16,21,8,2,2,2,2,8,0,0
3559,1988,pos,casado,"6108,27",1,0,50,77,12,11,10,3,12,3,2,1,3,6,0,0
11010,1984,doutorado,solteiro,"6116,17",1,0,303,75,19,3,18,3,1,3,3,0,3,8,0,0
6646,1984,graduado,vive_junto,"6213,91",1,0,120,23,3,0,5,13,0,1,1,0,3,6,0,0
10403,1978,graduado,vive_junto,"6214,66",1,0,11,43,2,13,6,7,5,3,3,0,3,7,0,0
8977,1985,ensino_medio,solteiro,"6233,46",0,0,533,51,1,3,4,2,3,1,0,0,3,4,0,0
4927,1971,graduado,vive_junto,"6250,38",2,0,165,76,8,3,22,21,1,3,3,0,3,9,0,0
2634,1979,mestrado,solteiro,"6260,53",1,0,72,10,5,7,31,15,4,3,2,1,3,6,1,0
3479,1950,graduado,solteiro,"6320,68",0,0,345,49,4,8,11,12,2,1,2,0,3,7,1,0
4415,1961,graduado,casado,"6338,35",1,1,655,19,10,4,4,3,3,3,1,1,3,7,0,0
10031,1976,doutorado,casado,"6363,53",1,1,504,50,20,2,23,3,1,5,3,0,4,8,0,0
7235,1975,pos,casado,"6392,11",1,0,202,37,2,5,12,4,8,3,2,0,4,5,0,0
3270,1978,pos,vive_junto,"6434,96",1,0,528,96,12,23,38,30,18,4,3,1,3,9,0,0
1135,1960,mestrado,vive_junto,"6445,11",1,1,134,96,18,2,19,0,2,5,3,0,4,7,0,0
24,1960,mestrado,vive_junto,"6445,11",1,1,134,96,18,2,19,0,2,5,3,0,4,7,0,0
9481,1976,graduado,casado,"6446,62",1,0,152,80,9,9,11,13,10,4,3,1,3,8,0,0
1384,1992,ensino_medio,casado,"6487,22",1,0,218,10,6,4,14,8,8,2,2,1,2,8,1,0
2569,1987,graduado,casado,"6512,41",0,0,627,38,3,14,17,6,1,1,1,0,3,8,0,0
4240,1978,graduado,casado,"6520,68",1,0,603,79,4,9,16,17,0,2,2,1,2,8,0,0
4992,1975,mestrado,vive_junto,"6563,53",1,0,283,12,6,4,16,3,10,3,3,1,2,7,1,0
6516,1989,ensino_medio,casado,"6574,06",1,0,468,37,0,0,1,7,4,1,1,0,2,7,0,0
8625,1976,graduado,casado,"6634,96",1,0,229,70,15,1,23,0,5,3,3,0,3,8,0,0
6742,1979,graduado,casado,"6649,62",1,0,532,82,2,2,1,3,1,1,1,0,2,8,0,1
5029,1946,graduado,casado,"6804,51",0,0,327,14,3,1,2,4,3,1,0,0,3,5,0,0
10790,1985,doutorado,casado,"6830,45",1,0,495,40,9,0,5,0,0,1,1,0,2,8,0,0
2431,1990,graduado,casado,"6850,38",0,0,545,70,12,4,19,12,6,1,2,0,3,8,0,0
8369,1987,graduado,vive_junto,"6852,26",1,0,598,21,1,2,7,4,3,1,0,1,2,8,0,0
3068,1990,graduado,casado,"6898,87",0,0,243,1,1,12,9,0,14,1,2,0,3,7,0,0
5294,1989,graduado,solteiro,"6901,5",1,0,221,49,6,8,19,16,4,3,3,0,4,7,0,0
6398,1974,ensino_medio,casado,"6914,66",1,0,92,2,7,10,13,16,0,2,3,0,3,8,0,0
6528,1982,mestrado,vive_junto,"6951,88",1,0,24,75,2,2,2,2,1,1,1,0,2,8,0,0
7892,1969,graduado,solteiro,"6988,35",0,0,543,89,6,4,25,15,12,2,2,1,3,7,0,0
10826,1959,graduado,casado,"7026,32",0,0,548,77,6,1,7,23,4,1,1,1,2,8,0,0
4086,1959,graduado,casado,"7026,32",0,0,548,77,6,1,7,23,4,1,1,1,2,8,0,0
10304,1959,graduado,casado,"7026,32",0,0,548,77,6,1,7,23,4,1,1,1,2,8,0,0
2661,1964,graduado,solteiro,"7030,45",1,1,390,95,12,4,2,10,6,4,2,0,4,5,0,0
3130,1964,graduado,solteiro,"7030,45",1,1,390,95,12,4,2,10,6,4,2,0,4,5,0,0
4055,1992,ensino_medio,solteiro,"7047,37",1,0,31,41,2,10,11,12,9,2,3,0,3,6,0,0
9668,1971,graduado,casado,"7065,04",1,0,533,14,4,16,20,0,17,3,2,0,4,8,0,0
624,1984,mestrado,solteiro,"7101,5",0,0,596,5,6,4,1,7,2,1,0,1,2,6,2,0
2253,1990,graduado,casado,"7116,17",0,0,498,15,32,0,8,23,4,1,1,0,4,6,0,0
2326,1990,graduado,casado,"7116,17",0,0,498,15,32,0,8,23,4,1,1,0,4,6,0,0
1876,1990,graduado,casado,"7116,17",0,0,498,15,32,0,8,23,4,1,1,0,4,6,0,0
6682,1973,ensino_medio,casado,"7134,59",1,0,565,41,2,8,1,4,7,1,1,0,3,8,0,0
4329,1984,doutorado,casado,"7138,35",1,0,37,43,6,0,6,2,1,2,1,0,3,7,0,0
5868,1980,graduado,casado,"7183,08",1,0,311,49,2,4,9,10,5,2,1,0,3,7,0,0
8523,1968,graduado,casado,"7266,54",1,0,197,39,24,1,16,12,2,3,4,0,3,8,0,0
10432,1974,graduado,divorciado,"7272,93",1,0,150,26,2,0,9,3,6,1,1,0,3,8,0,0
3102,1981,pos,vive_junto,"7298,5",1,0,256,32,2,3,12,3,5,1,1,0,3,8,0,0
11121,1981,graduado,casado,"7300,38",1,0,596,76,2,14,28,16,3,4,4,0,3,9,0,0
9986,1982,graduado,vive_junto,"7309,77",1,0,127,8,16,0,23,3,2,3,4,1,2,7,1,0
4259,1986,mestrado,solteiro,"7325,19",2,0,278,80,6,0,4,0,0,1,1,0,2,7,0,0
8442,1985,mestrado,casado,"7334,59",2,0,298,63,9,0,7,3,4,2,1,0,3,7,0,0
9671,1968,graduado,casado,"7336,09",1,1,154,47,14,3,21,2,1,4,3,1,2,8,2,0
8975,1968,graduado,casado,"7336,09",1,1,154,47,14,3,21,2,1,4,3,1,2,8,1,0
11114,1970,graduado,vive_junto,"7389,47",1,0,506,94,25,4,9,6,8,3,2,1,3,7,0,0
3536,1960,graduado,vive_junto,"7421,05",0,1,462,65,7,11,3,10,4,2,1,1,3,5,0,0
6504,1975,pos,vive_junto,"7439,47",1,0,221,24,2,5,9,28,6,3,2,1,3,5,1,0
9543,1985,graduado,casado,"7513,53",1,0,227,74,3,6,5,0,2,1,0,0,3,7,0,0
7093,1985,graduado,casado,"7513,53",1,0,227,74,3,6,5,0,2,1,0,0,3,7,0,0
2106,1974,pos,casado,"7567,67",0,0,104,99,0,6,3,7,6,1,1,0,3,8,0,0
3363,1974,pos,casado,"7567,67",0,0,104,99,0,6,3,7,6,1,1,0,3,8,0,0
4436,1976,graduado,solteiro,"7586,47",0,0,494,27,18,42,24,15,20,1,2,1,4,7,0,0
2929,1976,graduado,solteiro,"7586,47",0,0,494,27,18,42,24,15,20,1,2,1,4,7,0,0
4712,1991,pos,vive_junto,"7591,35",0,0,578,18,8,8,22,24,11,1,1,1,4,4,0,0
5150,1979,ensino_medio,solteiro,"7591,73",1,0,559,64,0,4,7,11,10,2,2,0,3,6,0,0
4211,1986,ensino_medio,casado,"7678,57",1,0,608,5,4,12,5,3,16,2,2,0,3,7,0,0
1407,1986,ensino_medio,casado,"7678,57",1,0,608,5,4,12,5,3,16,2,2,0,3,7,0,0
4298,1973,doutorado,vive_junto,"7679,32",1,0,97,63,5,0,4,0,0,1,1,0,2,8,0,0
2518,1986,pos,vive_junto,"7703,38",0,0,520,16,5,4,5,4,2,1,0,1,2,7,0,0
9081,1988,graduado,solteiro,"7713,53",1,0,42,58,4,1,6,4,1,1,1,1,2,5,0,0
503,1985,mestrado,casado,"7728,95",1,0,474,88,13,1,29,3,0,2,2,0,3,8,0,0
49,1970,graduado,solteiro,"7739,47",1,0,49,39,2,3,6,4,1,1,1,1,2,7,0,0
4973,1970,graduado,solteiro,"7739,47",1,0,49,39,2,3,6,4,1,1,1,1,2,7,0,0
793,1973,graduado,casado,"7855,26",1,0,631,24,18,3,17,3,0,1,2,0,3,9,0,0
3865,1977,pos,vive_junto,"7887,59",0,0,425,14,2,12,10,6,13,1,3,1,2,8,1,0
5316,1976,mestrado,vive_junto,"7903,76",0,0,360,89,36,4,18,6,2,1,2,0,4,7,0,0
1458,1982,mestrado,casado,"7916,92",1,0,173,40,8,3,19,3,3,3,3,0,3,6,0,0
1987,1987,ensino_medio,solteiro,"7918,42",1,0,277,34,1,10,11,19,3,2,2,0,3,6,0,0
4961,1974,mestrado,vive_junto,"7990,6",1,0,159,56,29,0,25,2,2,4,2,1,4,4,0,0
4066,1978,pos,divorciado,"8000,75",1,0,49,76,1,5,8,4,8,2,2,1,2,6,0,0
6770,1985,graduado,casado,"8028,2",1,0,313,5,5,13,14,0,5,2,2,1,2,6,2,0
5585,1972,graduado,solteiro,"8029,7",1,0,435,1,12,2,17,6,1,2,2,0,3,8,1,0
5371,1989,graduado,solteiro,"8072,93",1,0,82,0,6,16,24,11,0,2,3,1,2,7,2,0
6856,1979,graduado,vive_junto,"8137,22",1,0,664,75,14,0,23,4,5,3,3,0,3,9,1,0
3623,1976,graduado,vive_junto,"8148,5",1,0,18,55,4,0,16,17,4,3,4,0,3,7,0,0
2549,1983,doutorado,vive_junto,"8210,53",1,0,343,80,17,0,9,0,0,1,1,0,3,9,0,0
905,1986,graduado,divorciado,"8212,78",1,0,250,38,7,17,18,6,10,4,4,0,3,8,0,0
7141,1986,mestrado,solteiro,"8228,57",1,0,547,15,88,10,46,2,3,4,5,1,2,10,1,0
9862,1969,graduado,vive_junto,"8239,85",1,0,227,37,1,6,7,11,5,2,2,0,3,6,0,0
4328,1986,pos,casado,"8253,76",1,0,295,81,5,1,7,17,14,2,2,1,3,6,0,0
8430,1957,graduado,vive_junto,"8268,42",0,1,552,4,9,0,6,3,1,1,0,0,3,5,0,0
8619,1957,graduado,vive_junto,"8268,42",0,1,552,4,9,0,6,3,1,1,0,0,3,5,0,0
9592,1983,graduado,vive_junto,"8274,44",1,0,364,51,11,2,9,3,0,2,2,0,3,8,0,0
1143,1972,graduado,casado,"8294,36",1,0,325,43,7,10,13,3,11,2,2,0,3,7,0,0
4557,1970,graduado,vive_junto,"8296,99",1,0,268,11,10,7,19,8,2,2,2,2,2,6,0,0
7629,1977,graduado,casado,"8311,28",1,1,52,46,5,3,9,6,2,2,2,0,3,7,0,0
954,1960,ensino_medio,viuvo,"8316,92",0,0,94,77,3,3,24,34,7,1,2,1,3,5,0,0
10779,1983,graduado,solteiro,"8326,32",0,0,77,16,15,5,14,0,4,1,1,0,3,7,0,0
89,1975,pos,casado,"8350,38",1,0,202,49,5,9,20,6,8,2,2,0,4,6,0,0
255,1951,graduado,divorciado,"8369,55",1,1,91,31,17,0,2,0,0,2,1,0,3,6,0,1
11148,1975,graduado,vive_junto,"8375,94",1,0,406,85,2,1,4,3,1,1,1,0,2,8,0,0
4817,1956,graduado,divorciado,"8384,96",0,0,694,91,3,2,7,0,4,1,1,0,2,8,0,0
2292,1985,graduado,solteiro,"8393,61",1,0,331,94,5,4,8,2,0,1,1,0,3,5,0,0
2686,1969,ensino_medio,vive_junto,"8417,29",0,0,251,49,0,1,4,15,1,1,1,0,2,7,0,0
9460,1963,graduado,casado,"8428,2",0,0,437,74,30,3,47,19,21,1,3,2,2,8,0,0
3855,1963,graduado,casado,"8428,2",0,0,437,74,30,3,47,19,21,1,3,2,2,8,0,0
5527,1987,graduado,vive_junto,"8433,83",1,0,501,25,4,12,11,3,13,2,2,0,3,8,0,0
8079,1982,graduado,casado,"8439,1",1,0,123,86,3,1,8,23,2,3,2,1,3,3,0,0
7462,1954,graduado,solteiro,"8461,28",0,0,582,67,68,0,226,51,157,3,10,2,4,9,0,0
7736,1986,graduado,casado,"8465,41",1,0,615,36,11,7,12,2,2,2,2,1,2,5,2,0
2156,1955,doutorado,casado,"8478,95",1,1,603,38,27,0,10,0,0,4,2,0,4,5,0,0
2826,1967,graduado,casado,"8486,47",2,1,244,28,25,0,8,2,0,2,2,0,3,7,0,0
6222,1967,graduado,casado,"8486,47",2,1,244,28,25,0,8,2,0,2,2,0,3,7,0,0
1726,1970,graduado,solteiro,"8490,6",0,0,468,23,3,9,15,13,2,1,1,1,2,9,2,0
880,1966,ensino_medio,vive_junto,"8509,02",0,0,529,47,2,23,11,8,6,1,2,1,2,8,0,0
524,1966,ensino_medio,vive_junto,"8509,02",0,0,529,47,2,23,11,8,6,1,2,1,2,8,0,0
1087,1975,mestrado,vive_junto,"8522,18",1,0,403,30,16,14,36,37,22,3,4,1,2,9,1,0
8140,1973,graduado,vive_junto,"8527,07",1,0,269,51,10,14,29,4,2,3,2,1,4,4,0,0
3112,1977,mestrado,casado,"8534,21",1,0,297,2,2,4,9,0,4,1,1,0,3,5,0,0
10207,1978,graduado,vive_junto,"8562,03",1,0,375,40,5,1,8,0,0,1,1,0,2,8,0,0
4838,1978,graduado,vive_junto,"8562,03",1,0,375,40,5,1,8,0,0,1,1,0,2,8,0,0
10735,1971,graduado,solteiro,"8572,93",1,0,333,75,14,1,7,2,1,1,2,0,2,9,0,0
5068,1971,graduado,solteiro,"8572,93",1,0,333,75,14,1,7,2,1,1,2,0,2,9,0,0
304,1981,mestrado,solteiro,"8625,56",1,0,188,67,19,3,19,4,5,3,3,0,3,7,0,0
4023,1970,graduado,casado,"8638,72",1,0,661,29,16,17,19,20,21,3,3,2,2,8,1,0
213,1963,doutorado,solteiro,"8680,83",1,1,32,98,35,0,11,0,0,4,2,1,3,7,0,0
1878,1985,pos,casado,"8702,26",0,0,131,83,4,6,8,6,3,1,2,0,3,7,0,0
9672,1970,pos,casado,"8707,52",1,1,190,82,8,3,9,19,4,3,1,1,3,6,0,0
8182,1984,graduado,casado,"8732,33",1,0,175,91,53,3,49,7,4,4,3,0,4,8,0,0
4297,1969,graduado,vive_junto,"8732,33",1,0,154,71,13,2,18,6,1,2,2,0,3,8,0,0
153,1953,graduado,divorciado,"8748,87",0,0,255,29,19,3,6,4,2,1,1,0,3,4,0,0
10364,1959,graduado,divorciado,"8757,52",0,0,351,72,0,0,1,2,12,1,1,0,2,8,0,0
3745,1988,pos,casado,"8771,05",1,0,663,92,5,36,7,0,10,2,3,0,3,8,0,0
9771,1988,pos,solteiro,"8771,05",1,0,632,97,104,20,101,24,15,6,5,1,5,9,0,0
798,1987,graduado,solteiro,"8812,78",1,0,552,71,2,0,6,8,6,1,1,0,3,7,0,0
898,1986,graduado,casado,"8825,94",1,0,251,39,38,15,54,3,8,3,3,0,4,8,0,0
6673,1965,graduado,solteiro,"8826,32",0,0,467,51,28,6,27,12,17,1,3,0,3,8,0,0
1744,1965,ensino_medio,solteiro,"8845,49",0,1,538,67,9,7,13,3,2,1,1,1,2,6,0,0
7788,1983,doutorado,casado,"8848,12",1,0,25,53,6,0,3,0,0,1,0,0,3,3,0,0
9727,1957,graduado,casado,"8849,25",0,0,121,13,4,24,11,16,1,1,2,0,4,6,0,0
5346,1973,pos,casado,"8856,77",1,0,361,87,25,5,19,7,0,3,3,0,3,7,0,0
7301,1982,pos,solteiro,"8878,2",1,0,589,76,4,22,11,3,7,2,3,0,3,8,1,0
2230,1970,doutorado,casado,"8881,95",1,0,36,84,27,2,14,0,0,3,3,1,3,5,0,0
2936,1982,mestrado,vive_junto,"8895,11",1,0,207,46,18,0,4,0,0,1,1,0,3,7,0,0
10755,1976,pos,casado,"8916,54",1,0,300,76,6,3,14,15,7,3,3,1,2,7,0,0
8686,1979,ensino_medio,vive_junto,"8918,8",1,0,537,65,5,23,15,0,18,2,2,0,3,8,0,0
7527,1968,mestrado,divorciado,"8927,82",1,0,585,97,6,6,29,12,15,3,2,1,3,8,0,0
5393,1977,graduado,solteiro,"8933,46",1,0,691,64,22,0,6,6,2,1,1,0,3,7,0,0
9612,1987,pos,solteiro,"8958,65",0,0,142,3,1,8,6,4,8,1,1,0,3,7,0,0
5252,1969,graduado,divorciado,"8988,72",1,0,611,80,16,12,18,7,1,1,2,0,3,7,0,0
10837,1975,graduado,casado,"9006,39",1,0,609,47,2,1,18,20,11,1,2,0,3,6,1,0
9491,1984,graduado,vive_junto,"9013,53",1,0,184,68,14,1,21,2,3,3,3,1,3,7,0,0
2541,1976,graduado,casado,"9032,71",1,0,385,7,14,7,11,11,0,2,2,0,3,8,0,0
2861,1983,graduado,solteiro,"9049,62",1,0,439,79,9,1,6,3,0,1,1,0,2,8,0,0
10914,1970,graduado,solteiro,"9083,83",1,1,260,3,4,1,7,2,1,2,1,0,3,4,0,0
4860,1970,graduado,solteiro,9100,1,0,478,66,7,2,8,3,2,1,1,0,3,6,0,0
4179,1959,graduado,vive_junto,"9105,64",0,0,313,94,8,9,9,2,5,1,1,1,3,4,0,0
8151,1990,ensino_medio,casado,"9127,44",0,0,547,6,16,36,21,20,62,1,4,1,3,8,0,0
10398,1981,pos,solteiro,"9148,87",1,0,671,82,1,6,2,8,2,1,1,0,2,7,0,0
5181,1982,ensino_medio,solteiro,"9160,53",1,0,466,58,2,4,2,0,11,1,1,0,2,9,0,0
5871,1979,mestrado,vive_junto,"9173,31",0,0,667,98,73,28,217,10,24,3,6,1,6,8,0,0
10084,1972,graduado,casado,"9185,71",2,0,42,9,3,2,8,20,0,2,2,1,2,7,0,0
4669,1981,ensino_medio,casado,"9203,01",1,0,503,46,4,19,9,28,25,3,3,0,4,7,0,0
3032,1984,graduado,casado,"9236,84",1,0,487,97,28,34,62,11,14,3,4,0,4,9,0,0
8373,1979,ensino_medio,vive_junto,"9245,86",1,0,201,94,1,3,6,10,0,1,1,0,3,5,0,0
3829,1979,ensino_medio,vive_junto,"9245,86",1,0,201,94,1,3,6,10,0,1,1,0,3,5,0,0
4098,1973,graduado,casado,"9262,78",1,1,152,3,20,3,16,0,4,3,2,0,4,6,0,0
9530,1988,graduado,casado,"9265,04",1,0,605,16,5,3,4,4,1,1,1,0,2,8,0,0
8541,1990,pos,casado,"9279,32",1,0,113,98,8,4,10,6,7,2,2,0,4,5,0,0
7937,1982,graduado,casado,"9289,85",0,0,72,86,10,7,25,6,3,1,3,0,3,7,0,0
8443,1972,graduado,solteiro,"9309,02",1,0,139,16,6,10,12,3,15,3,3,1,2,8,2,0
9733,1978,ensino_medio,vive_junto,"9354,14",1,0,658,52,1,4,10,29,0,1,1,1,2,6,1,0
8462,1978,ensino_medio,vive_junto,"9354,14",1,0,658,52,1,4,10,29,0,1,1,1,2,6,1,0
9850,1972,pos,casado,"9354,89",1,0,577,32,3,6,7,0,0,1,0,0,3,7,0,0
5010,1988,graduado,solteiro,"9401,5",1,0,147,72,2,8,8,6,1,2,1,0,3,8,0,0
11003,1980,pos,vive_junto,"9447,37",1,0,270,10,2,5,7,0,18,2,2,0,3,7,0,0
10067,1976,pos,vive_junto,"9464,66",1,1,323,79,4,0,4,0,0,1,1,0,2,7,0,0
1646,1972,ensino_medio,casado,"9482,71",1,0,105,36,4,9,12,11,2,2,1,1,3,3,0,0
1940,1986,graduado,casado,"9493,23",1,0,352,26,1,3,4,2,2,1,1,0,2,8,0,0
3518,1983,graduado,casado,"9500,38",1,0,571,45,10,1,18,10,4,1,1,1,2,9,0,0
78,1969,graduado,casado,"9508,65",1,0,287,51,15,0,11,0,2,1,1,1,2,8,0,0
5517,1969,graduado,casado,"9508,65",1,0,287,51,15,0,11,0,2,1,1,1,2,8,0,0
3665,1977,pos,vive_junto,"9516,92",1,0,234,46,1,9,8,11,3,3,3,0,3,8,0,0
13,1947,doutorado,viuvo,"9533,08",0,1,342,57,19,0,5,0,0,2,1,0,3,6,0,0
2478,1973,graduado,casado,"9552,63",1,0,302,48,2,2,4,13,13,1,1,0,4,4,0,0
5692,1989,ensino_medio,casado,"9565,04",1,0,554,82,1,4,3,8,9,1,1,0,3,8,0,0
5093,1974,doutorado,divorciado,"9589,85",1,0,649,15,40,3,30,10,7,3,3,0,3,9,1,0
