preco,ano_construcao,ano_Venda,m2,andar,tipo_Aquecimento,tempo_ate_onibus,tempo_ate_metro,qtde_elevadores,qtde_escritorios_publicos_perto,qtde_hospitais_perto,qtde_lojas_departamento_perto,qtde_shoppings_perto,qtde_estacionamentos_perto,qtde_escolas_fundamental1_perto,qtde_escolas_fundamental2_perto,qtde_escolas_medio_perto,qtde_universidades_perto
2086722,2007,2007,"123,932602",17,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2299110,2007,2007,"134,151932",16,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2776986,2007,2007,"157,00607",22,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2442474,2007,2007,"151,338987",4,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2161056,2007,2007,"137,775149",4,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1895574,2007,2007,"123,932602",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1736280,2007,2007,"118,265519",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2092032,2007,2007,"137,775149",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2792916,2007,2007,"157,00607",25,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2362830,2007,2007,"151,338987",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2453094,2007,2007,"157,00607",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2092032,2007,2007,"137,775149",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2230086,2007,2007,"137,775149",9,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1959288,2007,2007,"123,932602",4,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2092032,2007,2007,"137,775149",4,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2230086,2007,2007,"137,775149",6,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2092032,2007,2007,"137,775149",5,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2230086,2007,2007,"137,775149",8,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2023008,2007,2007,"137,775149",3,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2161056,2007,2007,"137,775149",4,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2161056,2007,2007,"137,775149",6,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
570792,1986,2007,"84,54173",15,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
663714,1993,2007,"84,913342",1,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
982296,2005,2007,"84,913342",8,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
1393272,2007,2007,"102,472009",24,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
520350,1993,2007,"59,829532",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1035396,1993,2007,"163,602183",4,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1168140,1993,2007,"217,114311",18,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
217698,1992,2007,"32,980565",4,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
361056,1992,2007,"53,512128",14,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
530970,1993,2007,"59,829532",19,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
371676,1992,2007,"53,512128",8,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
491148,1992,2007,"59,829532",16,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
361056,1992,2007,"53,512128",11,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
1146900,2007,2007,"80,639804",8,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
2453094,2007,2007,"152,639629",4,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
976986,1986,2007,"105,073293",5,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1221234,2007,2007,"80,639804",21,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
568140,1986,2007,"84,54173",16,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1457520,2006,2007,"133,501611",4,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1847784,2006,2007,"161,929929",15,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1724916,2007,2007,"126,905498",19,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1715040,2007,2007,"126,905498",20,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
796458,1993,2007,"84,913342",16,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1061946,2007,2007,"84,913342",30,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1943892,2007,2007,"134,523544",30,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
552210,1993,2007,"59,829532",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
690264,1993,2007,"84,913342",9,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
823008,1993,2007,"84,913342",21,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1592916,2007,2007,"129,506782",24,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
584070,1993,2007,"59,829532",17,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1196814,2007,2007,"102,472009",17,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1740000,2007,2007,"126,905498",18,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
493800,1993,2007,"59,829532",8,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
807078,1993,2007,"84,913342",11,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1210614,2007,2007,"80,639804",24,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1115040,1986,2007,"105,073293",5,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1046016,1986,2007,"105,073293",11,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1916814,2007,2007,"128,856461",30,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1024776,1986,2007,"127,927431",2,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
674334,1997,2008,"84,913342",11,individual,5min~10min,15min~20min,4,7,1,2,1,1,4,0,0,3
435396,1985,2008,"62,802428",6,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
2692032,2007,2008,"157,00607",18,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2776986,2007,2008,"157,00607",20,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1906194,2007,2008,"118,265519",13,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1772760,2007,2008,"118,265519",18,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
265482,1986,2008,"47,194724",1,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
307962,1986,2008,"47,194724",11,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
313272,1986,2008,"50,817941",4,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1592916,2006,2008,"133,501611",28,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
232566,1992,2008,"32,980565",3,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
238938,1992,2008,"32,980565",12,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
504420,1993,2008,"59,829532",21,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1274334,2005,2008,"109,997152",17,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
1353978,2007,2008,"102,472009",14,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
907962,2005,2008,"69,026929",10,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
546900,1993,2008,"59,829532",20,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
788490,2005,2008,"69,026929",3,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
812388,1993,2008,"84,913342",10,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
981234,2007,2008,"84,913342",26,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1061946,2007,2008,"84,913342",26,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
483180,1993,2008,"59,829532",2,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
517698,1993,2008,"59,829532",12,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
756636,1993,2008,"84,913342",17,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1247784,1986,2008,"127,927431",10,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1189380,2007,2008,"80,639804",11,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1221234,2007,2008,"80,639804",24,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1168140,2007,2008,"80,639804",10,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
2110614,2007,2008,"128,856461",41,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
715752,1986,2008,"84,913342",4,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1162830,2007,2008,"80,639804",14,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1327428,2006,2008,"110,740376",4,individual,5min~10min,0-5min,11,3,1,1,1,0,4,3,3,1
902652,1986,2008,"105,073293",3,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1146900,2007,2008,"80,639804",17,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
663714,1997,2008,"84,913342",13,individual,5min~10min,15min~20min,4,7,1,2,1,1,4,0,0,3
371676,1985,2008,"54,534061",8,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
1699110,2007,2008,"137,775149",4,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2299110,2007,2008,"137,775149",17,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2145132,2007,2008,"123,932602",25,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2023008,2007,2008,"118,265519",27,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
562830,1986,2008,"84,54173",11,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1184070,2006,2008,"84,913342",15,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
607962,1993,2008,"59,829532",11,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
876102,1993,2008,"84,913342",10,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1460172,1993,2008,"217,114311",14,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
414156,1992,2008,"59,45792",11,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
477876,1993,2008,"59,829532",4,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1773450,2007,2008,"129,506782",20,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
387606,1992,2008,"53,512128",10,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
764598,1993,2008,"84,913342",14,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
398226,1992,2008,"59,45792",1,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
963822,2007,2008,"84,913342",11,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
212388,1992,2008,"32,980565",15,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
1539822,2007,2008,"126,905498",12,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1529202,1986,2008,"166,853788",9,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1061946,2007,2008,"80,639804",15,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1130970,2007,2008,"80,639804",3,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1056636,2006,2008,"83,891409",1,individual,5min~10min,0-5min,11,3,1,1,1,0,4,3,3,1
2569908,2007,2008,"152,639629",20,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1056636,2006,2008,"83,891409",1,individual,5min~10min,0-5min,11,3,1,1,1,0,4,3,3,1
998226,1986,2008,"105,073293",9,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
910614,1986,2008,"84,913342",11,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
902652,1986,2008,"105,073293",1,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
695574,1997,2008,"84,913342",13,individual,5min~10min,15min~20min,4,7,1,2,1,1,4,0,0,3
379644,1997,2008,"51,839874",11,individual,5min~10min,15min~20min,4,7,1,2,1,1,4,0,0,3
1316814,2006,2008,"84,54173",16,individual,5min~10min,10min~15min,0,2,1,1,1,0,3,2,2,2
743358,2003,2008,"84,263021",7,individual,5min~10min,15min~20min,4,7,1,2,1,1,4,0,0,3
358404,1985,2008,"54,534061",9,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
361056,1985,2008,"54,534061",5,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
1964598,2007,2008,"118,265519",22,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1847784,2007,2008,"118,265519",9,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2692032,2007,2008,"157,00607",16,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2224776,2007,2008,"137,775149",18,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2086722,2007,2008,"157,00607",11,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2776986,2007,2008,"157,00607",22,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2692032,2007,2008,"157,00607",15,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2612388,2007,2008,"157,00607",7,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
307962,1986,2008,"47,194724",2,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1619466,2006,2008,"106,745547",28,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1539822,2006,2008,"133,501611",3,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1635396,2006,2008,"131,179036",22,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1072566,2005,2008,"84,913342",24,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
1168140,2007,2008,"102,472009",3,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1046016,1993,2008,"134,802253",5,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
226722,1992,2008,"32,980565",15,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
971676,2005,2008,"84,913342",18,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
424776,1992,2008,"59,829532",4,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
509730,1993,2008,"59,829532",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
552210,1993,2008,"59,829532",8,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
544242,1993,2008,"59,829532",6,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1168140,1993,2008,"119,659064",16,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
921234,2005,2008,"69,026929",17,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
734334,1993,2008,"84,913342",18,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
743358,1993,2008,"84,913342",2,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
2049552,2007,2008,"134,523544",29,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
223008,1992,2008,"32,980565",14,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
748668,1993,2008,"84,913342",21,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1332738,2007,2008,"102,472009",24,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1247784,2007,2008,"102,472009",6,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
1008846,1993,2008,"134,802253",3,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
483180,1992,2008,"59,829532",15,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
1019466,1986,2008,"127,927431",2,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1242474,2007,2008,"80,639804",19,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
2289978,2007,2008,"128,856461",31,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1109730,1986,2008,"127,927431",5,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
2139822,2007,2008,"128,856461",23,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1242474,2007,2008,"80,639804",18,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1104420,2007,2008,"80,639804",4,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
1024776,1986,2008,"105,073293",12,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
886722,1986,2008,"84,913342",1,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
2654862,2007,2008,"152,639629",43,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
902652,1986,2008,"105,073293",11,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
2453094,2007,2008,"152,639629",5,individual,0~5min,0-5min,16,3,1,2,1,2,3,3,2,2
424776,1985,2008,"62,802428",8,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
345132,1985,2008,"54,534061",7,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
2299110,2007,2008,"134,151932",10,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2293800,2007,2008,"137,775149",20,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2776986,2007,2008,"157,00607",23,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2230086,2007,2008,"137,775149",7,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2240706,2007,2008,"137,775149",24,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2086722,2007,2008,"123,932602",10,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2299110,2007,2008,"137,775149",16,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
292032,1986,2008,"47,194724",6,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1146900,2006,2008,"84,913342",7,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1635396,2006,2008,"133,501611",10,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
1274334,1993,2008,"163,602183",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
520350,1992,2008,"59,829532",13,individual,5min~10min,15min~20min,8,5,1,1,1,0,3,3,4,4
1486722,2007,2008,"134,523544",31,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
769908,1993,2008,"84,913342",4,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
510792,1993,2008,"59,829532",17,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1592916,2007,2008,"126,905498",17,individual,0~5min,0-5min,10,2,2,2,2,1,2,2,2,2
976986,1993,2008,"134,802253",18,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
509730,1993,2008,"59,829532",15,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
536280,1993,2008,"59,829532",3,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
1115040,2005,2008,"84,913342",20,individual,0~5min,5min~10min,0,5,2,0,1,0,3,4,4,4
233628,1992,2008,"32,980565",13,individual,5min~10min,10min~15min,10,7,1,1,1,1,4,3,5,5
1327428,1993,2008,"217,114311",9,individual,0~5min,15min~20min,20,6,2,0,1,0,4,3,5,5
987606,1986,2008,"105,073293",12,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
1056636,1986,2008,"127,927431",2,central,0~5min,10min~15min,27,5,1,1,0,1,3,1,1,1
857520,2006,2008,"75,623042",17,individual,5min~10min,10min~15min,0,2,1,1,1,0,3,2,2,2
398226,1985,2008,"54,534061",6,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
432738,1985,2008,"62,802428",9,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
268140,1985,2008,"46,265694",7,individual,0~5min,5min~10min,2,5,1,2,1,1,2,1,1,0
2692032,2007,2008,"157,00607",12,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
2299110,2007,2008,"137,775149",15,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
1847784,2007,2008,"118,265519",7,individual,0~5min,0-5min,5,4,1,2,1,1,2,1,1,1
318582,1986,2008,"41,899253",13,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
323892,1986,2008,"41,899253",9,individual,0~5min,5min~10min,2,5,1,2,1,1,6,2,3,2
1592916,2006,2008,"133,501611",28,individual,0~5min,0-5min,11,1,1,0,1,0,2,2,1,2
